municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Jaguaripe,2917805,351.0,44.2,215.5,3.42,Rua da Misericórdia,"-12.974331, -38.512191",Jaguaripe,"-13.11463, -38.894141"
Jandaíra,2917904,368.0,175.5,206.3,3.26,Rua da Misericórdia,"-12.974331, -38.512191",Rua Olavo Leite,"-11.565052, -37.782933"
Jequié,2918001,33.0,169.3,337.4,4.83,Rua da Misericórdia,"-12.974331, -38.512191",Jequié,"-13.527044, -39.969409"
Jeremoabo,2918100,375.0,323.2,396.5,5.95,Rua da Misericórdia,"-12.974331, -38.512191",Avenida José Gonçalves de Sá,"-10.071826, -38.34975"
Jiquiriçá,2918209,360.0,118.7,246.5,3.85,Rua da Misericórdia,"-12.974331, -38.512191",Jiquiriçá,"-13.255288, -39.569228"
Jitaúna,2918308,278.0,188.7,397.6,5.8,Rua da Misericórdia,"-12.974331, -38.512191",Jitaúna,"-14.017008, -39.88901"
João Dourado,2918357,181.0,387.2,457.6,6.97,Rua da Misericórdia,"-12.974331, -38.512191",Praça João Dourado,"-11.348264, -41.66266"
Juazeiro,2918407,17.0,451.8,508.5,7.17,Rua da Misericórdia,"-12.974331, -38.512191",Praça Barão do Rio Branco,"-9.411378, -40.503717"
Jucuruçu,2918456,394.0,465.1,790.4,13.7,Rua da Misericórdia,"-12.974331, -38.512191",Rua São Sebastião,"-16.843344, -40.158364"
Jussara,2918506,296.0,432.9,511.4,7.89,Rua da Misericórdia,"-12.974331, -38.512191",Jussara,"-11.047391, -41.971722"
Jussari,2918555,308.0,268.0,486.9,7.76,Rua da Misericórdia,"-12.974331, -38.512191",Jussari,"-15.188185, -39.493594"
Jussiape,2918605,144.0,338.7,557.4,7.96,Rua da Misericórdia,"-12.974331, -38.512191",Rua Bahia,"-13.513197, -41.59199"
Lafaiete Coutinho,2918704,155.0,198.9,362.3,5.26,Rua da Misericórdia,"-12.974331, -38.512191",Avenida São Roque,"-13.655448, -40.212179"
Lagoa Real,2918753,383.0,409.8,610.3,9.23,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Santa Maria,"-14.034946, -42.142181"
Laje,2918803,220.0,101.2,223.0,3.47,Rua da Misericórdia,"-12.974331, -38.512191",Laje,"-13.18093, -39.422123"
Lajedão,2918902,62.0,551.9,908.9,15.08,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Evangelista Pessoa,"-17.612519, -40.345417"
Lajedinho,2919009,377.0,268.4,361.3,4.65,Rua da Misericórdia,"-12.974331, -38.512191",Lajedinho,"-12.355372, -40.903306"
Lajedo do Tabocal,2919058,230.0,193.0,347.1,4.99,Rua da Misericórdia,"-12.974331, -38.512191",Rua São Gabriel,"-13.474114, -40.219317"
Lamarão,2919108,410.0,137.2,185.2,2.63,Rua da Misericórdia,"-12.974331, -38.512191",Lamarão,"-11.796128, -38.885794"
Lapão,2919157,173.0,402.0,478.6,7.48,Rua da Misericórdia,"-12.974331, -38.512191",Lapão,"-11.383058, -41.833756"
Lauro de Freitas,2919207,2.0,22.1,26.6,0.48,Rua da Misericórdia,"-12.974331, -38.512191",Praça João Thiago dos Santos,"-12.896175, -38.324483"
